# rho, T, pressure
0.8 1.0 3.60316
0.8 0.9 3.13053
0.8 0.8 2.61399
0.8 0.7 2.06044
0.8 0.6 1.50404
0.8 0.5 0.861165
0.7 1.0 1.71982
0.7 0.9 1.40935
0.7 0.8 1.09444
0.7 0.7 0.775721
0.7 0.6 0.441082
0.7 0.5 0.111455
0.6 1.0 0.935393
0.6 0.9 0.744188
0.6 0.8 0.549375
0.6 0.7 0.358964
0.6 0.6 0.181142
0.6 0.5 0.0152559
0.5 1.0 0.584925
0.5 0.9 0.466596
0.5 0.8 0.344143
0.5 0.7 0.224871
0.5 0.6 0.112621
0.5 0.5 0.0259079
0.4 1.0 0.396228
0.4 0.9 0.318457
0.4 0.8 0.241578
0.4 0.7 0.1666
0.4 0.6 0.0926943
0.4 0.5 0.0320884
0.3 1.0 0.274985
0.3 0.9 0.224529
0.3 0.8 0.177557
0.3 0.7 0.127318
0.3 0.6 0.0778445
0.3 0.5 0.0356596
0.25 1.0 0.226124
0.25 0.9 0.187243
0.25 0.8 0.149537
0.25 0.7 0.110878
0.25 0.6 0.0705719
0.25 0.5 0.0320312
0.2 1.0 0.180638
0.2 0.9 0.151405
0.2 0.8 0.123447
0.2 0.7 0.0934972
0.2 0.6 0.0634313
0.2 0.5 0.0339276
0.15 1.0 0.136899
0.15 0.9 0.116859
0.15 0.8 0.096965
0.15 0.7 0.0758828
0.15 0.6 0.0541683
0.15 0.5 0.0298637
